,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-0.39343998,-0.08583787,-0.48257917,0.35255978,0.04581186,-0.26565608,-0.27756664,0.05170807,-0.5572924,-0.16455439,0.09838838,-0.054415595,-0.27008078,-0.058983464,0.08612528,-0.50003207,0.3033578,0.017814789,-0.3897449,-0.41721576,-0.06626654,0.3222751,0.20552497,-0.07571998,0.19603711,-0.10399068,-0.59049845,-0.24034743,0.17839622,-0.23843153,0.39907566,-0.13555235,-0.23064734,-0.4569597,-0.15758547,0.05595801,-0.11714203,-0.23756091,-0.1768989,-0.05888431,-0.02948443,-0.19820924,-0.026679518,-0.07812393,0.19380812,-0.18969975,-0.18685576,-0.12040654,0.07023462,-0.16475087,0.10128329,-0.061438482,-0.09372595,-0.22738251,0.12507081,0.30279288,0.19361842,0.20124333,-0.31120864,0.2611792,-0.20683885,0.1939453,0.22260612,0.011961837,-0.058231086,0.13370518,0.15048473,0.26528597,-0.22425692,-0.00079655304,-0.2693446,0.22910433,0.15590546,-0.3680958,-0.22395878,-0.048787136,-0.16310948,-0.14387587,0.036426906,0.025067719,-0.01375708,0.23279682,-0.24253114,0.084049076,0.48936355,0.019389303,0.18304102,-0.10375861,0.22876564,0.22321914,0.039001994,0.22380279,-0.33690667,-0.4581417,0.15813352,0.58183193,0.22436048,0.0066278223,0.3433826,0.13585913
1,-0.25619835,-0.0594015,-0.47910434,0.21434428,0.15723975,-0.24020106,-0.3067747,0.0069113746,-0.53547853,-0.1646634,0.16775714,-0.055570703,-0.30765006,-0.08255292,0.12678352,-0.49504116,0.29921895,-0.0065804985,-0.3380635,-0.4478371,-0.039579585,0.28506675,0.34949633,-0.0623518,0.21536851,-0.1311916,-0.63626796,-0.26917443,0.1792953,-0.26682,0.4002621,-0.1317182,-0.20306997,-0.39224797,-0.07353728,0.044339713,-0.25422835,-0.18062006,-0.1450229,-0.08095692,0.011177358,-0.248435,-0.038969867,-0.07558105,0.1360716,-0.21853855,-0.20669222,-0.12778321,0.013831418,-0.119220145,0.035487965,-0.18256965,-0.02959972,-0.14271313,0.17718133,0.21684928,0.14026505,0.19431452,-0.3376154,0.2003902,-0.26086047,0.13241088,0.176209,0.05383575,-0.08875127,0.17772834,0.17362677,0.30004936,-0.19143628,0.0027159653,-0.2601799,0.20510061,0.17770001,-0.30348238,-0.20720443,-0.11014267,-0.110320695,-0.078038655,0.028442713,-0.06650964,-0.049264185,0.19381791,-0.19304484,0.1211876,0.49303728,0.005813011,0.22722259,-0.08586311,0.11758472,0.13044785,-0.024234353,0.16448914,-0.2684556,-0.44188514,0.1205942,0.59332824,0.3007722,0.04688888,0.32747152,0.1449708
2,-0.024815578,-0.05933156,-0.1706839,0.14131239,0.041670993,-0.057370394,-0.00048111266,-0.0688363,-0.12561354,0.0046746777,0.082922935,-0.02808423,-0.15051599,0.041576486,0.027036272,-0.22408068,0.14718421,-0.1685298,-0.15719923,-0.036225572,-0.008728864,0.14918628,0.20915647,0.08899888,0.11499872,0.050985035,-0.1610611,-0.031023605,0.07017953,0.0021769828,0.2183863,-0.22973914,-0.16063415,-0.22094329,-0.06505516,-0.01790278,-0.1135836,-0.028295634,0.047557075,-0.10407302,0.011744046,-0.12558614,-0.10051134,0.059970457,0.0575178,-0.0051969243,-0.2342583,-0.02203051,-0.03383378,-0.0445377,-0.006341696,-0.12572756,-0.012403468,-0.10178293,0.14745145,0.19290873,0.08738997,0.10188878,-0.22751628,0.020898847,-0.24818046,0.013318597,-0.023069283,-0.03608082,-0.047555618,0.10059929,-0.026114762,0.17007032,0.071766935,0.06132479,-0.08813644,0.14268439,0.14382395,-0.13018137,-0.13089903,-0.12606974,-0.010640158,0.09279088,0.06920428,-0.012370743,-0.031596176,0.020873345,0.058077756,-0.03818991,0.26900855,-0.056533083,0.019392211,-0.0702213,-0.07161601,-0.020804638,-0.019688146,0.030213768,-0.024503926,-0.22618857,0.020073649,0.24256118,0.15204251,0.024005238,0.12241608,0.071533844
3,-0.27652967,-0.09840248,-0.4757155,0.30994114,0.019535417,-0.21330197,-0.2080104,-0.0018063417,-0.550909,-0.15107141,0.15264809,-0.0445634,-0.28329515,-0.036382955,0.114765294,-0.53460485,0.33563852,-0.08873651,-0.37965894,-0.3353518,-0.052460786,0.30620706,0.28393403,-0.040863678,0.20380563,-0.054624133,-0.60052556,-0.28210822,0.22136858,-0.20972359,0.35797864,-0.20587233,-0.22819996,-0.46213987,-0.15448488,0.026760403,-0.20832355,-0.19130632,-0.1379574,-0.107016526,-0.020705335,-0.20275038,-0.029926337,-0.00890162,0.14815785,-0.18728852,-0.19643992,-0.10590946,-0.004404587,-0.150097,0.06651186,-0.11771,-0.092061564,-0.19134797,0.14684635,0.2682867,0.17435066,0.21978463,-0.32699934,0.18104613,-0.29284886,0.15174995,0.16776624,0.05458986,-0.081653655,0.14029819,0.08777827,0.27514786,-0.19412845,0.019666625,-0.24986707,0.23227265,0.2291902,-0.37906262,-0.23582914,-0.14973867,-0.13854916,-0.04811395,0.004152576,0.01701377,-0.026260037,0.21665093,-0.16263157,0.05134607,0.5523789,0.010853278,0.17065464,-0.07747689,0.107161306,0.13893662,0.0043039727,0.1634593,-0.27548936,-0.4356766,0.15440768,0.61483425,0.24281232,0.054311056,0.3054637,0.15652527
4,-0.13428776,-0.048907574,-0.33899596,0.3047661,0.054592136,-0.13638543,-0.13981368,0.022218643,-0.45448995,-0.09714496,0.10381933,-0.013823583,-0.17980623,0.005163495,0.10800167,-0.33799595,0.31094357,-0.14699285,-0.33164743,-0.29877552,-0.07387303,0.2404244,0.17303844,-0.08684054,0.1792109,-0.04392167,-0.48524407,-0.26318195,0.1537049,-0.14008382,0.2557878,-0.11558235,-0.22338681,-0.38853198,-0.13013494,-0.010281456,-0.26438722,-0.09666549,-0.019669833,-0.10635966,0.04225716,-0.15457422,0.03133926,-0.049772535,0.17504445,-0.07825865,-0.24668731,-0.042842664,-0.0053546764,-0.050235905,0.014509855,-0.07594188,-0.028256884,-0.1576983,0.08017823,0.15409999,0.17479688,0.20245923,-0.2143385,0.15497325,-0.221374,0.08141071,0.0871772,0.04899392,-0.037509024,0.11148361,0.057280473,0.16148165,-0.11585828,-0.04603924,-0.17665686,0.15767244,0.13623565,-0.28994083,-0.18583743,-0.21631314,-0.04910827,0.015222217,0.09234563,0.00010565507,-0.025457751,0.22977181,-0.099185884,0.006334531,0.4935968,-0.016157072,0.20161133,-0.017406376,0.106025554,0.13229461,-0.049814835,0.12694943,-0.2172449,-0.2797172,0.11266883,0.49941033,0.2236082,-0.007214266,0.2422653,0.16450368
5,-0.21911612,-0.057171457,-0.38993648,0.2608239,0.0446977,-0.20307632,-0.17981142,-0.022065151,-0.4316201,-0.12899055,0.11344661,-0.008316953,-0.24098752,-0.038769092,0.06302853,-0.3748808,0.25497517,-0.07835199,-0.2961674,-0.26364735,-0.09404205,0.24208602,0.2024276,-0.037835117,0.1474512,-0.07925613,-0.5030031,-0.19269311,0.15383789,-0.17550002,0.3478177,-0.16726036,-0.19454592,-0.35945672,-0.1122593,0.004739809,-0.15810455,-0.1253732,-0.09645651,-0.07177171,-0.050775956,-0.16199724,-0.036665216,-0.027248237,0.14943476,-0.14441471,-0.19090453,-0.083081886,-0.006273144,-0.1158956,0.054692138,-0.050001174,-0.049086586,-0.17035997,0.1276514,0.22195524,0.15250553,0.1877507,-0.24814166,0.17192706,-0.22959945,0.0906951,0.1325811,0.049780704,-0.05420031,0.10688704,0.08705501,0.18425632,-0.11538274,0.01443076,-0.24599794,0.17339806,0.120248616,-0.30617872,-0.20440726,-0.12628897,-0.14664723,-0.05218027,0.063963294,-0.0037470574,-0.032460388,0.1797848,-0.09936477,0.051260937,0.44608685,0.030292852,0.12680808,-0.09518281,0.1497942,0.14855713,0.013224884,0.108845405,-0.24462038,-0.3841497,0.09288607,0.45592842,0.19168042,0.029432073,0.24375321,0.09801112
6,-0.26851323,-0.12348863,-0.49659917,0.31723773,0.020448413,-0.23201028,-0.22350082,-0.03555195,-0.5865139,-0.1431065,0.16595738,-0.04609393,-0.25229016,-0.054412227,0.09148525,-0.5110038,0.35503012,-0.15940644,-0.35342193,-0.30193737,-0.09664547,0.31209734,0.31057888,-0.04728189,0.22263265,-0.09052088,-0.5801406,-0.25618953,0.23236857,-0.2095351,0.4052633,-0.23044248,-0.24105819,-0.50078744,-0.115115635,0.05034238,-0.21612471,-0.237057,-0.11041339,-0.10202651,-0.063796885,-0.24050128,-0.02686008,-0.06938593,0.1996708,-0.1441495,-0.2515222,-0.079733334,-0.056684062,-0.16929375,0.05549326,-0.10337406,-0.13624066,-0.16476788,0.18471438,0.31684154,0.18061285,0.17162742,-0.32624257,0.13382547,-0.33660075,0.10503104,0.16875948,0.04237941,-0.08176603,0.13555995,0.042907927,0.24193761,-0.1347935,0.042603232,-0.23221609,0.24478953,0.21211372,-0.34283128,-0.26572502,-0.1499008,-0.1286251,-0.03753145,0.032044616,0.018108588,-0.02533595,0.20828724,-0.11099893,0.050962973,0.5112715,0.0032930966,0.12634933,-0.08624359,0.106072895,0.15218945,-0.012250129,0.14325225,-0.29363424,-0.4506507,0.10121472,0.59346277,0.21286373,0.0069612544,0.33947143,0.12338486
7,-0.07011609,-0.08974718,-0.30730107,0.23488529,-0.034360826,-0.12020648,0.0017506835,-0.06646602,-0.37142116,-0.023877826,0.16496821,-0.02109203,-0.21994953,0.035086993,0.018813709,-0.35081187,0.24666017,-0.08267721,-0.24689347,-0.144966,-0.004196236,0.17022197,0.241886,0.011544205,0.16669188,0.0010248785,-0.34258682,-0.10922068,0.10044869,-0.12687951,0.22516744,-0.15159725,-0.11491973,-0.32121804,-0.094704494,0.03181302,-0.10630436,-0.10679232,-0.063236,-0.06771757,-0.029132418,-0.120213,-0.07093358,0.0433628,0.0965581,0.015023966,-0.2185547,0.022532491,-0.036716036,-0.10494826,-0.023201445,-0.12115871,-0.06901464,-0.1756193,0.1528681,0.18474045,0.093569025,0.09126238,-0.22008628,0.06446506,-0.27738166,0.015801877,0.042779975,-0.039670616,-0.03705133,0.0756917,-0.010291384,0.21601532,-0.07745844,0.018537598,-0.13824767,0.15655701,0.17112908,-0.17554158,-0.14585315,-0.13944411,-0.04184636,0.016445553,0.058303192,-0.0677168,-0.07119221,0.09308088,-0.03437058,0.01592567,0.31212053,-0.08888347,0.094372116,-0.092717186,0.0128741665,0.06524022,-0.04637801,0.08441179,-0.08444262,-0.2843551,0.085838504,0.3365116,0.22546639,0.027124675,0.27944595,0.09109215
8,-0.39852095,-0.056377746,-0.53385174,0.3235053,0.070057824,-0.26914766,-0.27809435,0.05598747,-0.5709501,-0.15507755,0.09907707,-0.097583525,-0.24924994,-0.11224574,0.09806228,-0.47409588,0.31840974,0.011786663,-0.41645995,-0.4569404,-0.09214458,0.31244373,0.18948786,-0.080286056,0.15387253,-0.12646744,-0.62309337,-0.2888254,0.17018506,-0.30506268,0.43179563,-0.09443688,-0.20618346,-0.46845305,-0.11021153,0.01683088,-0.097770095,-0.21683277,-0.18000168,-0.06273348,-0.059911262,-0.24979675,0.027868511,-0.13617352,0.21031103,-0.22312182,-0.19928841,-0.114400014,0.09863459,-0.12613705,0.062557004,-0.10325499,-0.06986309,-0.2118219,0.10368614,0.2882608,0.22739446,0.20481394,-0.3383016,0.28792503,-0.16551462,0.18742684,0.26553053,0.036319256,-0.044594668,0.13091254,0.1488548,0.27867407,-0.29859436,-0.026314143,-0.29235592,0.22899006,0.16430527,-0.35673812,-0.21820739,-0.0059817275,-0.11107488,-0.15156467,0.026100274,-0.025330143,-0.011617995,0.23329625,-0.3188603,0.14604989,0.46723443,-0.02070339,0.17312804,-0.087239176,0.22463563,0.20682079,0.041167133,0.26161104,-0.3289579,-0.43924373,0.173471,0.6269102,0.2559795,0.014051266,0.33729562,0.10396728
9,-0.17702216,-0.046273276,-0.26547375,0.19750272,0.04219551,-0.13315412,-0.15500887,-0.031816937,-0.32993284,-0.055925813,0.09328426,-0.046236597,-0.15655413,0.012424229,0.027919205,-0.29447696,0.20831792,-0.07260621,-0.23311,-0.16154379,-0.05138918,0.16825294,0.13357814,-0.010953328,0.08438593,-0.024665248,-0.37159383,-0.10688488,0.07680073,-0.1376772,0.24916233,-0.14557898,-0.17333691,-0.27913162,-0.10452918,0.018647423,-0.06631574,-0.09148563,-0.083723634,-0.0028781292,-0.0199801,-0.10244936,-0.017564006,-0.057496786,0.09809618,-0.07407163,-0.17590605,-0.027828438,0.0026221531,-0.078728534,0.022943506,-0.05394268,-0.043854136,-0.15451467,0.10172045,0.15798068,0.13649467,0.119554065,-0.16332649,0.098917685,-0.19344136,0.013528217,0.13342851,0.010858752,-0.030931348,0.061109465,0.01981257,0.12358256,-0.10696288,0.015844503,-0.124924615,0.16608196,0.0924128,-0.19820032,-0.15188836,-0.07824169,-0.083614595,-0.037929233,0.059587177,-0.028087297,-0.07920901,0.10483963,-0.026620666,0.022220938,0.27218497,-0.015073793,0.040680073,-0.058699153,0.09850816,0.10534641,-0.010799488,0.084984794,-0.16419762,-0.29392532,0.07099018,0.3223285,0.12926623,-0.0010171207,0.20018809,0.07639914
